Global Land Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.52
1881,-0.46
1882,-0.48
1883,-0.69
1884,-0.72
1885,-0.59
1886,-0.53
1887,-0.52
1888,-0.46
1889,-0.33
1890,-0.56
1891,-0.57
1892,-0.55
1893,-0.59
1894,-0.45
1895,-0.45
1896,-0.38
1897,-0.31
1898,-0.42
1899,-0.25
1900,-0.17
1901,-0.14
1902,-0.30
1903,-0.40
1904,-0.46
1905,-0.37
1906,-0.20
1907,-0.64
1908,-0.46
1909,-0.44
1910,-0.37
1911,-0.50
1912,-0.49
1913,-0.32
1914,-0.07
1915,-0.10
1916,-0.47
1917,-0.64
1918,-0.51
1919,-0.34
1920,-0.36
1921,-0.15
1922,-0.27
1923,-0.29
1924,-0.24
1925,-0.15
1926,-0.01
1927,-0.21
1928,-0.14
1929,-0.49
1930,-0.13
1931,-0.02
1932,-0.04
1933,-0.35
1934,-0.06
1935,-0.17
1936,-0.12
1937,-0.01
1938,0.18
1939,0.10
1940,0.08
1941,0.10
1942,0.06
1943,0.08
1944,0.20
1945,-0.07
1946,0.00
1947,0.05
1948,0.06
1949,-0.06
1950,-0.32
1951,-0.06
1952,-0.05
1953,0.20
1954,-0.12
1955,-0.11
1956,-0.40
1957,-0.03
1958,0.15
1959,0.09
1960,0.00
1961,0.12
1962,0.16
1963,0.22
1964,-0.21
1965,-0.12
1966,-0.05
1967,0.02
1968,-0.11
1969,-0.07
1970,0.05
1971,-0.02
1972,-0.16
1973,0.34
1974,-0.18
1975,0.14
1976,-0.23
1977,0.26
1978,0.12
1979,0.18
1980,0.32
1981,0.53
1982,0.12
1983,0.51
1984,0.07
1985,0.10
1986,0.30
1987,0.45
1988,0.59
1989,0.37
1990,0.66
1991,0.54
1992,0.25
1993,0.35
1994,0.49
1995,0.78
1996,0.35
1997,0.65
1998,0.99
1999,0.79
2000,0.64
2001,0.86
2002,0.97
2003,0.96
2004,0.83
2005,1.10
2006,0.99
2007,1.13
2008,0.91
2009,0.92
2010,1.17
2011,0.93
2012,0.98
2013,1.05
2014,1.04
2015,1.43
2016,1.54
2017,1.42
2018,1.22
2019,1.43
2020,1.59
